"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"DELETE","/students/delete/99999739",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999740",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999741",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999742",1,1,12,12,12,12,0,0.02
"DELETE","/students/delete/99999743",1,1,14,14,14,14,0,0.02
"DELETE","/students/delete/99999744",1,1,5,5,5,5,0,0.02
"DELETE","/students/delete/99999745",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999746",1,1,22,22,22,22,0,0.02
"DELETE","/students/delete/99999747",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999748",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999750",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999751",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999752",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999754",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999755",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999757",2,2,10,504,10,998,0,0.04
"DELETE","/students/delete/99999758",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999759",1,1,8,8,8,8,0,0.02
"DELETE","/students/delete/99999760",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999761",2,1,17,508,17,1000,38,0.04
"DELETE","/students/delete/99999762",1,0,9,9,9,9,78,0.02
"DELETE","/students/delete/99999763",2,1,16,511,16,1005,39,0.04
"DELETE","/students/delete/99999764",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999765",1,0,10,10,10,10,78,0.02
"DELETE","/students/delete/99999766",1,0,11,11,11,11,78,0.02
"DELETE","/students/delete/99999767",1,0,16,16,16,16,74,0.02
"DELETE","/students/delete/99999768",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999769",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999770",1,1,12,12,12,12,0,0.02
"DELETE","/students/delete/99999771",1,0,10,10,10,10,77,0.02
"DELETE","/students/delete/99999772",1,0,8,8,8,8,79,0.02
"DELETE","/students/delete/99999773",1,0,18,18,18,18,84,0.02
"DELETE","/students/delete/99999774",1,0,10,10,10,10,77,0.02
"DELETE","/students/delete/99999775",1,0,14,14,14,14,75,0.02
"DELETE","/students/delete/99999776",1,0,10,10,10,10,80,0.02
"DELETE","/students/delete/99999777",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999778",1,0,11,11,11,11,79,0.02
"DELETE","/students/delete/99999779",1,0,21,21,21,21,74,0.02
"DELETE","/students/delete/99999781",1,0,9,9,9,9,77,0.02
"DELETE","/students/delete/99999783",1,0,11,11,11,11,77,0.02
"DELETE","/students/delete/99999784",1,0,11,11,11,11,80,0.02
"DELETE","/students/delete/99999785",1,0,9,9,9,9,80,0.02
"DELETE","/students/delete/99999786",2,2,10,508,10,1005,0,0.04
"DELETE","/students/delete/99999787",1,1,1000,1007,1007,1007,0,0.02
"DELETE","/students/delete/99999788",1,1,8,8,8,8,0,0.02
"DELETE","/students/delete/99999789",1,0,12,12,12,12,77,0.02
"DELETE","/students/delete/99999790",1,1,1000,1005,1005,1005,0,0.02
"DELETE","/students/delete/99999792",1,1,19,19,19,19,0,0.02
"DELETE","/students/delete/99999793",2,1,12,512,12,1012,39,0.04
"DELETE","/students/delete/99999794",1,1,1000,1009,1009,1009,0,0.02
"DELETE","/students/delete/99999795",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999796",1,0,11,11,11,11,71,0.02
"DELETE","/students/delete/99999799",3,2,9,13,9,20,25,0.06
"DELETE","/students/delete/99999800",1,0,20,20,20,20,76,0.02
"DELETE","/students/delete/99999802",2,2,10,504,10,999,0,0.04
"DELETE","/students/delete/99999803",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999804",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999805",1,0,9,9,9,9,79,0.02
"DELETE","/students/delete/99999807",1,0,21,21,21,21,74,0.02
"DELETE","/students/delete/99999808",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999809",1,0,12,12,12,12,78,0.02
"DELETE","/students/delete/99999810",2,2,10,509,10,1008,0,0.04
"DELETE","/students/delete/99999811",1,0,12,12,12,12,77,0.02
"DELETE","/students/delete/99999813",1,1,1000,1008,1008,1008,0,0.02
"DELETE","/students/delete/99999814",1,1,7,7,7,7,0,0.02
"DELETE","/students/delete/99999815",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999816",1,1,15,15,15,15,0,0.02
"DELETE","/students/delete/99999817",3,3,1000,679,14,1013,0,0.06
"DELETE","/students/delete/99999818",1,1,8,8,8,8,0,0.02
"DELETE","/students/delete/99999819",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999820",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999823",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999824",1,1,17,17,17,17,0,0.02
"DELETE","/students/delete/99999825",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999826",1,0,10,10,10,10,80,0.02
"DELETE","/students/delete/99999827",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999828",2,1,10,505,10,1000,39,0.04
"DELETE","/students/delete/99999829",2,2,8,506,8,1004,0,0.04
"DELETE","/students/delete/99999830",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999831",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999832",1,0,10,10,10,10,74,0.02
"DELETE","/students/delete/99999833",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999835",1,1,8,8,8,8,0,0.02
"DELETE","/students/delete/99999836",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999838",2,2,10,11,10,11,0,0.04
"DELETE","/students/delete/99999839",2,1,18,512,18,1007,39,0.04
"DELETE","/students/delete/99999840",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999841",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999843",1,1,12,12,12,12,0,0.02
"DELETE","/students/delete/99999844",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999845",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999846",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999847",2,2,10,506,10,1002,0,0.04
"DELETE","/students/delete/99999848",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999849",1,1,9,9,9,9,0,0.02
"DELETE","/students/delete/99999850",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999851",1,0,10,10,10,10,76,0.02
"DELETE","/students/delete/99999852",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999853",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999854",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999855",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999856",1,1,8,8,8,8,0,0.02
"DELETE","/students/delete/99999857",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999858",1,1,8,8,8,8,0,0.02
"DELETE","/students/delete/99999859",1,1,12,12,12,12,0,0.02
"DELETE","/students/delete/99999860",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999861",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999862",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999864",1,0,44,44,44,44,77,0.02
"DELETE","/students/delete/99999866",1,0,17,17,17,17,75,0.02
"DELETE","/students/delete/99999867",1,0,15,15,15,15,76,0.02
"DELETE","/students/delete/99999869",1,0,16,16,16,16,77,0.02
"DELETE","/students/delete/99999870",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999871",2,1,17,515,17,1013,40,0.04
"DELETE","/students/delete/99999873",1,0,18,18,18,18,78,0.02
"DELETE","/students/delete/99999874",1,1,1000,1000,1000,1000,0,0.02
"DELETE","/students/delete/99999875",4,3,1000,758,11,1014,19,0.08
"DELETE","/students/delete/99999876",1,0,9,9,9,9,74,0.02
"DELETE","/students/delete/99999877",1,0,11,11,11,11,82,0.02
"DELETE","/students/delete/99999878",1,0,8,8,8,8,80,0.02
"DELETE","/students/delete/99999879",1,0,8,8,8,8,77,0.02
"DELETE","/students/delete/99999880",1,0,10,10,10,10,72,0.02
"DELETE","/students/delete/99999881",1,0,25,25,25,25,79,0.02
"DELETE","/students/delete/99999883",1,0,10,10,10,10,72,0.02
"DELETE","/students/delete/99999884",1,0,10,10,10,10,82,0.02
"DELETE","/students/delete/99999886",1,0,13,13,13,13,75,0.02
"DELETE","/students/delete/99999887",1,0,10,10,10,10,75,0.02
"DELETE","/students/delete/99999888",2,1,11,510,11,1010,39,0.04
"DELETE","/students/delete/99999890",2,1,8,507,8,1007,37,0.04
"DELETE","/students/delete/99999893",3,3,48,51,47,58,0,0.06
"DELETE","/students/delete/99999894",2,1,17,517,17,1016,39,0.04
"DELETE","/students/delete/99999895",1,0,10,10,10,10,77,0.02
"DELETE","/students/delete/99999896",1,0,20,20,20,20,78,0.02
"DELETE","/students/delete/99999897",1,0,11,11,11,11,79,0.02
"DELETE","/students/delete/99999898",1,0,10,10,10,10,79,0.02
"DELETE","/students/delete/99999900",2,1,14,26,14,39,41,0.04
"DELETE","/students/delete/99999901",1,0,11,11,11,11,78,0.02
"DELETE","/students/delete/99999902",1,0,6,6,6,6,75,0.02
"DELETE","/students/delete/99999903",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999904",1,0,10,10,10,10,78,0.02
"DELETE","/students/delete/99999905",1,0,21,21,21,21,80,0.02
"DELETE","/students/delete/99999907",1,1,10,10,10,10,0,0.02
"DELETE","/students/delete/99999908",1,0,9,9,9,9,77,0.02
"DELETE","/students/delete/99999909",1,0,11,11,11,11,80,0.02
"DELETE","/students/delete/99999910",1,0,10,10,10,10,75,0.02
"DELETE","/students/delete/99999911",1,1,22,22,22,22,0,0.02
"DELETE","/students/delete/99999914",3,2,22,20,16,23,27,0.06
"DELETE","/students/delete/99999926",1,0,31,31,31,31,79,0.02
"DELETE","/students/delete/99999927",1,0,79,79,79,79,78,0.02
"DELETE","/students/delete/99999928",12,11,75,152,28,1024,6,0.24
"DELETE","/students/delete/99999929",2,1,2400,2409,2406,2412,38,0.04
"DELETE","/students/delete/99999930",1,0,10,10,10,10,80,0.02
"DELETE","/students/delete/99999931",1,0,19,19,19,19,78,0.02
"DELETE","/students/delete/99999932",1,0,10,10,10,10,76,0.02
"DELETE","/students/delete/99999934",1,0,18,18,18,18,81,0.02
"DELETE","/students/delete/99999935",1,0,19,19,19,19,74,0.02
"DELETE","/students/delete/99999937",2,1,14,513,14,1011,38,0.04
"DELETE","/students/delete/99999938",1,0,9,9,9,9,75,0.02
"DELETE","/students/delete/99999939",1,0,15,15,15,15,79,0.02
"DELETE","/students/delete/99999940",2,1,10,506,10,1002,38,0.04
"DELETE","/students/delete/99999941",1,0,9,9,9,9,77,0.02
"DELETE","/students/delete/99999942",1,0,10,10,10,10,77,0.02
"DELETE","/students/delete/99999943",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999944",1,0,10,10,10,10,83,0.02
"DELETE","/students/delete/99999945",1,0,9,9,9,9,83,0.02
"DELETE","/students/delete/99999946",1,0,14,14,14,14,76,0.02
"DELETE","/students/delete/99999947",1,0,11,11,11,11,79,0.02
"DELETE","/students/delete/99999948",1,1,14,14,14,14,0,0.02
"DELETE","/students/delete/99999949",1,0,10,10,10,10,80,0.02
"DELETE","/students/delete/99999950",1,0,9,9,9,9,81,0.02
"DELETE","/students/delete/99999951",1,0,10,10,10,10,75,0.02
"DELETE","/students/delete/99999952",1,0,29,29,29,29,73,0.02
"DELETE","/students/delete/99999954",1,0,9,9,9,9,73,0.02
"DELETE","/students/delete/99999955",1,1,11,11,11,11,0,0.02
"DELETE","/students/delete/99999956",1,0,12,12,12,12,79,0.02
"DELETE","/students/delete/99999957",1,0,17,17,17,17,78,0.02
"DELETE","/students/delete/99999958",2,1,15,510,15,1005,40,0.04
"DELETE","/students/delete/99999959",1,0,18,18,18,18,74,0.02
"DELETE","/students/delete/99999960",1,0,17,17,17,17,71,0.02
"DELETE","/students/delete/99999961",1,0,12,12,12,12,74,0.02
"DELETE","/students/delete/99999963",1,0,11,11,11,11,76,0.02
"DELETE","/students/delete/99999964",1,0,12,12,12,12,76,0.02
"DELETE","/students/delete/99999966",1,0,11,11,11,11,74,0.02
"DELETE","/students/delete/99999967",2,1,19,510,19,1001,38,0.04
"DELETE","/students/delete/99999968",1,0,10,10,10,10,82,0.02
"DELETE","/students/delete/99999969",1,0,8,8,8,8,81,0.02
"DELETE","/students/delete/99999970",1,0,18,18,18,18,77,0.02
"DELETE","/students/delete/99999971",2,1,9,507,9,1005,37,0.04
"DELETE","/students/delete/99999972",1,0,17,17,17,17,74,0.02
"DELETE","/students/delete/99999973",1,0,12,12,12,12,76,0.02
"DELETE","/students/delete/99999974",1,0,14,14,14,14,73,0.02
"DELETE","/students/delete/99999975",1,0,14,14,14,14,73,0.02
"DELETE","/students/delete/99999977",1,0,37,37,37,37,72,0.02
"DELETE","/students/delete/99999978",1,0,17,17,17,17,80,0.02
"DELETE","/students/delete/99999980",1,0,11,11,11,11,72,0.02
"DELETE","/students/delete/99999981",3,2,1000,684,20,1025,25,0.06
"DELETE","/students/delete/99999982",1,0,14,14,14,14,77,0.02
"DELETE","/students/delete/99999983",1,0,20,20,20,20,80,0.02
"DELETE","/students/delete/99999984",1,0,14,14,14,14,80,0.02
"DELETE","/students/delete/99999986",1,0,9,9,9,9,73,0.02
"DELETE","/students/delete/99999987",2,1,22,517,22,1011,37,0.04
"DELETE","/students/delete/99999988",1,0,18,18,18,18,80,0.02
"DELETE","/students/delete/99999989",1,0,20,20,20,20,73,0.02
"DELETE","/students/delete/99999990",1,0,10,10,10,10,73,0.02
"DELETE","/students/delete/99999991",1,0,17,17,17,17,80,0.02
"DELETE","/students/delete/99999992",1,0,12,12,12,12,78,0.02
"DELETE","/students/delete/99999993",1,0,10,10,10,10,81,0.02
"DELETE","/students/delete/99999994",1,0,15,15,15,15,77,0.02
"DELETE","/students/delete/99999995",1,0,11,11,11,11,70,0.02
"DELETE","/students/delete/99999996",1,0,20,20,20,20,78,0.02
"DELETE","/students/delete/99999997",1,0,16,16,16,16,81,0.02
"DELETE","/students/delete/99999998",1,0,13,13,13,13,81,0.02
"DELETE","/students/delete/99999999",1,0,68,68,68,68,74,0.02
"None","Total",261,133,11,164,5,2412,37,5.32
