Method,Name,# requests,# failures,Median response time,Average response time,Min response time,Max response time,Average Content Size,Requests/s
PUT,/students/update/99999781,1,0,15,15,15,15,77,0.00
PUT,/students/update/99999782,1,0,8,8,8,8,74,0.00
PUT,/students/update/99999783,1,0,13,13,13,13,82,0.00
PUT,/students/update/99999784,1,0,12,12,12,12,80,0.00
PUT,/students/update/99999785,1,1,1000,1002,1002,1002,0,0.00
PUT,/students/update/99999786,1,1,19,19,19,19,0,0.00
PUT,/students/update/99999787,1,0,19,19,19,19,78,0.00
PUT,/students/update/99999788,1,1,11,11,11,11,0,0.00
PUT,/students/update/99999789,1,0,26,26,26,26,79,0.00
PUT,/students/update/99999790,1,1,19,19,19,19,0,0.00
PUT,/students/update/99999791,1,1,13,13,13,13,0,0.00
PUT,/students/update/99999792,1,1,27,27,27,27,0,0.00
PUT,/students/update/99999793,1,0,19,19,19,19,77,0.00
PUT,/students/update/99999794,1,1,1000,1012,1012,1012,0,0.00
PUT,/students/update/99999795,1,1,10,10,10,10,0,0.00
PUT,/students/update/99999796,1,0,19,19,19,19,76,0.00
PUT,/students/update/99999797,1,1,11,11,11,11,0,0.00
PUT,/students/update/99999798,1,0,10,10,10,10,74,0.00
PUT,/students/update/99999799,1,0,18,18,18,18,74,0.00
PUT,/students/update/99999800,1,1,1000,1005,1005,1005,0,0.00
PUT,/students/update/99999801,1,0,19,19,19,19,78,0.00
PUT,/students/update/99999802,1,1,9,9,9,9,0,0.00
PUT,/students/update/99999803,1,1,11,11,11,11,0,0.00
PUT,/students/update/99999804,1,1,1000,1010,1010,1010,0,0.00
PUT,/students/update/99999805,1,0,19,19,19,19,79,0.00
PUT,/students/update/99999806,1,0,11,11,11,11,75,0.00
PUT,/students/update/99999807,1,0,11,11,11,11,78,0.00
PUT,/students/update/99999808,1,1,12,12,12,12,0,0.00
PUT,/students/update/99999809,1,0,12,12,12,12,77,0.00
PUT,/students/update/99999810,1,1,12,12,12,12,0,0.00
PUT,/students/update/99999811,1,0,30,30,30,30,72,0.00
PUT,/students/update/99999812,1,1,12,12,12,12,0,0.00
PUT,/students/update/99999813,1,1,12,12,12,12,0,0.00
PUT,/students/update/99999814,1,1,10,10,10,10,0,0.00
PUT,/students/update/99999815,1,1,11,11,11,11,0,0.00
