"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"DELETE","/students/delete/99999912",1,0,18000,18034,18034,18034,76,0.03
"DELETE","/students/delete/99999913",1,0,9,9,9,9,78,0.03
"DELETE","/students/delete/99999914",1,0,7,7,7,7,74,0.03
"DELETE","/students/delete/99999915",1,0,16,16,16,16,78,0.03
"DELETE","/students/delete/99999916",1,0,8,8,8,8,74,0.03
"DELETE","/students/delete/99999917",1,0,7,7,7,7,80,0.03
"DELETE","/students/delete/99999918",1,0,9,9,9,9,74,0.03
"DELETE","/students/delete/99999919",1,0,8,8,8,8,75,0.03
"DELETE","/students/delete/99999920",1,0,10,10,10,10,77,0.03
"DELETE","/students/delete/99999922",2,1,9,9,9,9,40,0.05
"DELETE","/students/delete/99999923",1,0,12,12,12,12,75,0.03
"DELETE","/students/delete/99999924",1,0,11,11,11,11,79,0.03
"DELETE","/students/delete/99999925",1,0,8,8,8,8,75,0.03
"DELETE","/students/delete/99999926",1,0,11,11,11,11,78,0.03
"DELETE","/students/delete/99999927",1,0,8,8,8,8,81,0.03
"DELETE","/students/delete/99999928",1,0,10,10,10,10,77,0.03
"DELETE","/students/delete/99999929",1,0,9,9,9,9,75,0.03
"DELETE","/students/delete/99999930",1,0,10,10,10,10,80,0.03
"DELETE","/students/delete/99999931",1,0,10,10,10,10,75,0.03
"DELETE","/students/delete/99999932",1,0,12,12,12,12,76,0.03
"DELETE","/students/delete/99999933",1,0,13,13,13,13,78,0.03
"DELETE","/students/delete/99999934",1,0,19,19,19,19,75,0.03
"DELETE","/students/delete/99999935",1,0,9,9,9,9,77,0.03
"DELETE","/students/delete/99999937",2,1,19,20,19,21,38,0.05
"DELETE","/students/delete/99999939",2,1,29,54,29,79,38,0.05
"DELETE","/students/delete/99999940",1,0,8,8,8,8,77,0.03
"DELETE","/students/delete/99999941",1,0,12,12,12,12,77,0.03
"DELETE","/students/delete/99999942",1,0,11,11,11,11,77,0.03
"DELETE","/students/delete/99999943",1,0,15,15,15,15,73,0.03
"DELETE","/students/delete/99999944",1,0,37,37,37,37,70,0.03
"DELETE","/students/delete/99999945",1,0,18,18,18,18,77,0.03
"DELETE","/students/delete/99999947",2,2,23,28,23,34,0,0.05
"DELETE","/students/delete/99999950",3,2,43,44,40,50,24,0.08
"DELETE","/students/delete/99999951",1,0,16,16,16,16,76,0.03
"DELETE","/students/delete/99999952",1,0,10,10,10,10,76,0.03
"DELETE","/students/delete/99999953",1,0,12,12,12,12,76,0.03
"DELETE","/students/delete/99999954",1,0,12,12,12,12,75,0.03
"DELETE","/students/delete/99999955",1,0,24,24,24,24,78,0.03
"DELETE","/students/delete/99999958",3,2,34,32,27,36,26,0.08
"DELETE","/students/delete/99999959",1,0,13,13,13,13,79,0.03
"DELETE","/students/delete/99999961",2,1,13,14,13,14,38,0.05
"DELETE","/students/delete/99999962",1,0,19,19,19,19,80,0.03
"DELETE","/students/delete/99999963",1,0,13,13,13,13,77,0.03
"DELETE","/students/delete/99999964",1,0,9,9,9,9,78,0.03
"DELETE","/students/delete/99999965",1,0,19,19,19,19,80,0.03
"DELETE","/students/delete/99999966",1,0,18,18,18,18,79,0.03
"DELETE","/students/delete/99999967",1,0,17,17,17,17,82,0.03
"DELETE","/students/delete/99999968",1,0,11,11,11,11,70,0.03
"DELETE","/students/delete/99999969",1,0,18,18,18,18,75,0.03
"DELETE","/students/delete/99999970",1,0,9,9,9,9,78,0.03
"DELETE","/students/delete/99999971",1,0,11,11,11,11,78,0.03
"DELETE","/students/delete/99999972",1,1,9,9,9,9,0,0.03
"DELETE","/students/delete/99999973",1,0,13,13,13,13,82,0.03
"DELETE","/students/delete/99999974",1,0,9,9,9,9,74,0.03
"DELETE","/students/delete/99999976",1,0,25,25,25,25,76,0.03
"DELETE","/students/delete/99999977",2,1,18,32,18,46,36,0.05
"DELETE","/students/delete/99999978",1,0,11,11,11,11,76,0.03
"DELETE","/students/delete/99999979",1,0,11,11,11,11,79,0.03
"DELETE","/students/delete/99999980",1,0,11,11,11,11,78,0.03
"DELETE","/students/delete/99999981",1,0,15,15,15,15,71,0.03
"DELETE","/students/delete/99999982",1,0,18,18,18,18,80,0.03
"DELETE","/students/delete/99999983",1,0,44,44,44,44,74,0.03
"DELETE","/students/delete/99999984",1,0,15,15,15,15,76,0.03
"DELETE","/students/delete/99999985",1,0,11,11,11,11,77,0.03
"DELETE","/students/delete/99999986",1,0,14,14,14,14,78,0.03
"DELETE","/students/delete/99999987",1,0,19,19,19,19,73,0.03
"DELETE","/students/delete/99999988",1,0,13,13,13,13,83,0.03
"DELETE","/students/delete/99999989",1,0,280,278,278,278,75,0.03
"DELETE","/students/delete/99999990",1,0,170,165,165,165,76,0.03
"DELETE","/students/delete/99999991",1,0,11,11,11,11,78,0.03
"DELETE","/students/delete/99999992",1,0,10,10,10,10,76,0.03
"DELETE","/students/delete/99999993",1,0,12,12,12,12,81,0.03
"DELETE","/students/delete/99999994",1,0,12,12,12,12,80,0.03
"DELETE","/students/delete/99999995",1,0,18,18,18,18,83,0.03
"DELETE","/students/delete/99999996",1,0,9,9,9,9,77,0.03
"DELETE","/students/delete/99999997",1,0,10,10,10,10,75,0.03
"DELETE","/students/delete/99999998",1,0,35,35,35,35,75,0.03
"DELETE","/students/delete/99999999",1,0,88,88,88,88,73,0.03
"None","Total",88,12,13,227,7,18034,66,2.24
